"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01000","1","72","54","0","1997","A","","Alabama -- Statewide","Federal Government","Accommodation and food services","State, NAICS Sector -- by ownership sector","All establishment sizes",4,338,3637088,0,0,207,10747,"",1.02,1.54,1.43,0.00,0.00,0.93,0.93,"",0,0.0,4,1.2,214468,6.3,0,0.0,0,0.0,10,5.1,489,4.8
"01000","3","72","54","0","1997","A","","Alabama -- Statewide","Local Government","Accommodation and food services","State, NAICS Sector -- by ownership sector","All establishment sizes",24,354,3438073,0,0,187,9703,"",6.81,4.86,4.22,0.00,0.00,0.87,0.87,"",2,9.1,1,0.3,180992,5.6,0,0.0,0,0.0,10,5.6,487,5.3
"01000","5","72","54","0","1997","A","","Alabama -- Statewide","Private","Accommodation and food services","State, NAICS Sector -- by ownership sector","All establishment sizes",6615,124181,1194317901,0,0,185,9618,"",0.89,0.88,0.86,0.00,0.00,0.97,0.97,"",300,4.8,4901,4.1,102355075,9.4,0,0.0,0,0.0,9,5.1,463,5.1
"01001","5","72","74","0","1997","A","","Autauga County, Alabama","Private","Accommodation and food services","County, NAICS Sector -- by ownership sector","All establishment sizes",50,1161,10890259,0,0,180,9384,"",0.97,1.52,1.70,0.00,0.00,1.11,1.12,"",4,8.7,91,8.5,708132,7.0,0,0.0,0,0.0,-3,-1.6,-133,-1.4
"01003","5","72","74","0","1997","A","","Baldwin County, Alabama","Private","Accommodation and food services","County, NAICS Sector -- by ownership sector","All establishment sizes",300,6405,71019457,0,0,213,11088,"",1.20,1.93,2.84,0.00,0.00,1.47,1.47,"",13,4.5,171,2.7,6213927,9.6,0,0.0,0,0.0,13,6.5,693,6.7
"01009","5","72","74","0","1997","A","","Blount County, Alabama","Private","Accommodation and food services","County, NAICS Sector -- by ownership sector","All establishment sizes",37,381,3555462,0,0,179,9322,"",0.72,0.55,0.69,0.00,0.00,1.24,1.24,"",2,5.7,1,0.3,121900,3.6,0,0.0,0,0.0,5,2.9,288,3.2
"01015","1","72","74","0","1997","A","","Calhoun County, Alabama","Federal Government","Accommodation and food services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,40,533170,0,0,254,13219,"",10.80,6.92,9.17,0.00,0.00,1.31,1.31,"",0,0.0,-1,-2.4,20619,4.0,0,0.0,0,0.0,16,6.7,819,6.6
"01015","5","72","74","0","1997","A","","Calhoun County, Alabama","Private","Accommodation and food services","County, NAICS Sector -- by ownership sector","All establishment sizes",171,3868,33547887,0,0,167,8674,"",0.97,1.04,1.05,0.00,0.00,1.01,1.01,"",8,4.9,456,13.4,5566730,19.9,0,0.0,0,0.0,9,5.7,473,5.8
"01017","5","72","74","0","1997","A","","Chambers County, Alabama","Private","Accommodation and food services","County, NAICS Sector -- by ownership sector","All establishment sizes",42,599,4873437,0,0,156,8130,"",0.89,0.59,0.55,0.00,0.00,0.93,0.94,"",-1,-2.3,-67,-10.1,-627021,-11.4,0,0.0,0,0.0,-3,-1.9,-129,-1.6
"01021","5","72","74","0","1997","A","","Chilton County, Alabama","Private","Accommodation and food services","County, NAICS Sector -- by ownership sector","All establishment sizes",51,695,5581255,0,0,154,8029,"",0.96,1.12,1.22,0.00,0.00,1.09,1.10,"",4,8.5,48,7.4,453603,8.8,0,0.0,0,0.0,2,1.3,108,1.4
