"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01000","1","72","54","0","2017","A","","Alabama -- Statewide","Federal Government","NAICS 72 Accommodation and food services","State, NAICS Sector -- by ownership sector","All establishment sizes",10,396,7437820,0,0,361,18778,"",2.00,3.01,2.69,0.00,0.00,0.89,0.89,"",0,0.0,-28,-6.6,-308501,-4.0,0,0.0,0,0.0,9,2.6,490,2.7
"01000","2","72","54","0","2017","A","N","Alabama -- Statewide","State Government","NAICS 72 Accommodation and food services","State, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",4.63,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","3","72","54","0","2017","A","","Alabama -- Statewide","Local Government","NAICS 72 Accommodation and food services","State, NAICS Sector -- by ownership sector","All establishment sizes",154,1193,25329069,223012,2820,408,21240,"",17.63,1.05,0.76,0.07,0.05,0.72,0.72,"",1,0.7,-8,-0.7,706647,2.9,-23543,-9.5,-793,-21.9,14,3.6,736,3.6
"01000","5","72","54","0","2017","A","","Alabama -- Statewide","Private","NAICS 72 Accommodation and food services","State, NAICS Sector -- by ownership sector","All establishment sizes",9488,182674,2925406793,1568413165,17486614,308,16014,"",1.07,1.00,0.93,1.09,1.06,0.93,0.93,"",248,2.7,3968,2.2,135983623,4.9,59644200,4.0,-923247,-5.0,8,2.7,405,2.6
"01001","3","72","74","0","2017","A","N","Autauga County, Alabama","Local Government","NAICS 72 Accommodation and food services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",16.43,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","72","74","0","2017","A","","Autauga County, Alabama","Private","NAICS 72 Accommodation and food services","County, NAICS Sector -- by ownership sector","All establishment sizes",74,1318,18091297,10435615,87205,264,13725,"",1.20,1.29,1.27,1.50,1.14,0.98,0.98,"",2,2.8,-110,-7.7,-1516666,-7.7,-686643,-6.2,-6674,-7.1,0,0.0,-11,-0.1
"01003","5","72","74","0","2017","A","","Baldwin County, Alabama","Private","NAICS 72 Accommodation and food services","County, NAICS Sector -- by ownership sector","All establishment sizes",601,13756,265290589,129784525,1651902,371,19286,"",1.40,2.02,2.95,2.29,2.90,1.46,1.46,"",32,5.6,423,3.2,16207749,6.5,5682253,4.6,-124309,-7.0,12,3.3,604,3.2
"01005","5","72","74","0","2017","A","","Barbour County, Alabama","Private","NAICS 72 Accommodation and food services","County, NAICS Sector -- by ownership sector","All establishment sizes",53,632,8136768,5138126,55736,248,12873,"",1.35,0.83,0.80,0.87,0.87,0.96,0.96,"",4,8.2,-9,-1.4,335915,4.3,107710,2.1,-18311,-24.7,14,6.0,708,5.8
"01007","5","72","74","0","2017","A","","Bibb County, Alabama","Private","NAICS 72 Accommodation and food services","County, NAICS Sector -- by ownership sector","All establishment sizes",15,227,3396269,1900219,29611,287,14940,"",0.58,0.58,0.59,0.73,0.87,1.00,1.00,"",1,7.1,-14,-5.8,97660,3.0,97536,5.4,517,1.8,23,8.7,1224,8.9
"01009","5","72","74","0","2017","A","","Blount County, Alabama","Private","NAICS 72 Accommodation and food services","County, NAICS Sector -- by ownership sector","All establishment sizes",47,732,9634180,5792657,58983,253,13160,"",0.86,0.93,0.94,1.03,1.16,1.01,1.02,"",4,9.3,65,9.7,1141748,13.4,893277,18.2,15385,35.3,8,3.3,432,3.4
"01011","5","72","74","0","2017","A","N","Bullock County, Alabama","Private","NAICS 72 Accommodation and food services","County, NAICS Sector -- by ownership sector","All establishment sizes",9,0,0,0,0,0,0,"N",0.85,0,0,0,0,0,0,"N",-1,-10.0,0,0,0,0,0,0,0,0,0,0,0,0
"01013","3","72","74","0","2017","A","N","Butler County, Alabama","Local Government","NAICS 72 Accommodation and food services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",29.29,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01013","5","72","74","0","2017","A","","Butler County, Alabama","Private","NAICS 72 Accommodation and food services","County, NAICS Sector -- by ownership sector","All establishment sizes",42,739,10086636,6124200,57475,262,13649,"",1.21,1.17,1.27,1.17,0.94,1.08,1.09,"",2,5.0,-39,-5.0,-247514,-2.4,-98240,-1.6,-6281,-9.9,6,2.3,357,2.7
"01015","1","72","74","0","2017","A","","Calhoun County, Alabama","Federal Government","NAICS 72 Accommodation and food services","County, NAICS Sector -- by ownership sector","All establishment sizes",2,23,434084,0,0,359,18670,"",19.86,7.66,8.12,0.00,0.00,1.05,1.05,"",0,0.0,-3,-11.5,-37481,-7.9,0,0.0,0,0.0,16,4.7,819,4.6
"01015","3","72","74","0","2017","A","N","Calhoun County, Alabama","Local Government","NAICS 72 Accommodation and food services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",5.69,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01015","5","72","74","0","2017","A","","Calhoun County, Alabama","Private","NAICS 72 Accommodation and food services","County, NAICS Sector -- by ownership sector","All establishment sizes",241,4862,72340093,40909417,438871,286,14880,"",1.35,1.16,1.19,1.39,1.28,1.02,1.02,"",5,2.1,101,2.1,2855267,4.1,924351,2.3,-51403,-10.5,5,1.8,285,2.0
"01017","3","72","74","0","2017","A","","Chambers County, Alabama","Local Government","NAICS 72 Accommodation and food services","County, NAICS Sector -- by ownership sector","All establishment sizes",12,45,971037,0,0,416,21619,"",287.82,9.23,8.48,0.00,0.00,0.92,0.92,"",0,0.0,-1,-2.2,27085,2.9,0,0.0,0,0.0,17,4.3,873,4.2
"01017","5","72","74","0","2017","A","N","Chambers County, Alabama","Private","NAICS 72 Accommodation and food services","County, NAICS Sector -- by ownership sector","All establishment sizes",57,0,0,0,0,0,0,"N",1.35,0,0,0,0,0,0,"N",3,5.6,0,0,0,0,0,0,0,0,0,0,0,0
"01019","5","72","74","0","2017","A","","Cherokee County, Alabama","Private","NAICS 72 Accommodation and food services","County, NAICS Sector -- by ownership sector","All establishment sizes",29,402,4694242,3061867,23735,225,11689,"",1.02,0.84,0.77,0.90,0.62,0.92,0.92,"",1,3.6,-8,-2.0,300548,6.8,222640,7.8,1667,7.6,19,9.2,962,9.0
"01021","5","72","74","0","2017","A","N","Chilton County, Alabama","Private","NAICS 72 Accommodation and food services","County, NAICS Sector -- by ownership sector","All establishment sizes",55,0,0,0,0,0,0,"N",1.01,0,0,0,0,0,0,"N",1,1.9,0,0,0,0,0,0,0,0,0,0,0,0
"01023","5","72","74","0","2017","A","N","Choctaw County, Alabama","Private","NAICS 72 Accommodation and food services","County, NAICS Sector -- by ownership sector","All establishment sizes",19,0,0,0,0,0,0,"N",0.92,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01025","3","72","74","0","2017","A","N","Clarke County, Alabama","Local Government","NAICS 72 Accommodation and food services","County, NAICS Sector -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,"N",65.37,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01025","5","72","74","0","2017","A","","Clarke County, Alabama","Private","NAICS 72 Accommodation and food services","County, NAICS Sector -- by ownership sector","All establishment sizes",54,713,8947079,5417287,60349,241,12554,"",1.16,0.94,0.81,0.96,1.10,0.87,0.87,"",0,0.0,-6,-0.8,138544,1.6,-119648,-2.2,-8332,-12.1,5,2.1,297,2.4
